Name,Team,Position,Height(inches),Weight(lbs),Age
Adam Donachie,BAL,Catcher,187.96,81.65, 22.99
Paul Bako,BAL,Catcher,187.96,97.52, 34.69
Ramon Hernandez,BAL,Catcher,182.88,95.25, 30.78
Kevin Millar,BAL,Baseman,182.88,95.25, 35.43
Chris Gomez,BAL,Baseman,185.42,85.28, 35.71
Brian Roberts,BAL,Baseman,175.26,79.83, 29.39
Miguel Tejada,BAL,Shortstop,175.26,94.8, 30.77
Melvin Mora,BAL,Baseman,180.34,90.72, 35.07
Aubrey Huff,BAL,Baseman,193.04,104.78, 30.19
Adam Stern,BAL,Outfielder,180.34,81.65, 27.05
Jeff Fiorentino,BAL,Outfielder,185.42,85.28, 23.88
Freddie Bynum,BAL,Outfielder,185.42,81.65, 26.96
Nick Markakis,BAL,Outfielder,187.96,83.91, 23.29
Brandon Fahey,BAL,Outfielder,187.96,72.57, 26.11
Corey Patterson,BAL,Outfielder,175.26,81.65, 27.55
Jay Payton,BAL,Outfielder,177.8,83.91, 34.27
Jay Gibbons,BAL,Hitter,182.88,89.36, 30
Erik Bedard,BAL,Pitcher,185.42,85.73, 27.99
Hayden Penn,BAL,Pitcher,190.5,83.91, 22.38
Adam Loewen,BAL,Pitcher,198.12,99.34, 22.89
Daniel Cabrera,BAL,Pitcher,200.66,104.33, 25.76
Steve Trachsel,BAL,Pitcher,193.04,92.99, 36.33
Jaret Wright,BAL,Pitcher,187.96,104.33, 31.17
Kris Benson,BAL,Pitcher,193.04,88.45, 32.31
Scott Williamson,BAL,Pitcher,182.88,81.65, 31.03
John Parrish,BAL,Pitcher,180.34,87.09, 29.26
Danys Baez,BAL,Pitcher,190.5,102.06, 29.47
Chad Bradford,BAL,Pitcher,195.58,92.08, 32.46
Jamie Walker,BAL,Pitcher,187.96,88.45, 35.67
Brian Burres,BAL,Pitcher,185.42,82.55, 25.89
Kurt Birkins,BAL,Pitcher,187.96,85.28, 26.55
James Hoey,BAL,Pitcher,198.12,90.72, 24.17
Sendy Rleal,BAL,Pitcher,185.42,81.65, 26.69
Chris Ray,BAL,Pitcher,190.5,90.72, 25.13
Jeremy Guthrie,BAL,Pitcher,185.42,90.72, 27.9
A.J. Pierzynski,CWS,Catcher,190.5,111.13, 30.17
Toby Hall,CWS,Catcher,190.5,108.86, 31.36
Paul Konerko,CWS,Baseman,187.96,97.52, 30.99
Tadahito Iguchi,CWS,Baseman,175.26,83.91, 32.24
Juan Uribe,CWS,Shortstop,180.34,79.38, 27.61
Alex Cintron,CWS,Shortstop,187.96,90.26, 28.2
Joe Crede,CWS,Baseman,185.42,90.72, 28.85
Josh Fields,CWS,Baseman,185.42,97.52, 24.21
Ryan Sweeney,CWS,Outfielder,193.04,90.72, 22.02
Brian N. Anderson,CWS,Outfielder,187.96,92.99, 24.97
Luis Terrero,CWS,Outfielder,187.96,93.44, 26.78
Pablo Ozuna,CWS,Outfielder,177.8,84.37, 32.51
Scott Podsednik,CWS,Outfielder,182.88,85.28, 30.95
Jermaine Dye,CWS,Outfielder,195.58,99.79, 33.09
Darin Erstad,CWS,Outfielder,187.96,95.25, 32.74
Rob Mackowiak,CWS,Outfielder,177.8,88.45, 30.69
Jim Thome,CWS,Hitter,193.04,110.68, 36.51
Jerry Owens,CWS,Hitter,190.5,88.45, 26.03
Charlie Haeger,CWS,Pitcher,185.42,90.72, 23.45
Heath Phillips,CWS,Pitcher,190.5,90.72, 24.94
Gavin Floyd,CWS,Pitcher,193.04,96.16, 24.09
Jose Contreras,CWS,Pitcher,193.04,101.6, 35.23
Jon Garland,CWS,Pitcher,198.12,95.25, 27.43
Javier Vazquez,CWS,Pitcher,187.96,92.99, 30.6
Mark Buehrle,CWS,Pitcher,187.96,99.79, 27.94
Mike MacDougal,CWS,Pitcher,193.04,88.45, 29.99
David Aardsma,CWS,Pitcher,195.58,90.72, 25.17
Andrew Sisco,CWS,Pitcher,205.74,117.93, 24.13
Matt Thornton,CWS,Pitcher,198.12,103.42, 30.46
Bobby Jenks,CWS,Pitcher,190.5,122.47, 25.96
Boone Logan,CWS,Pitcher,195.58,90.72, 22.55
Sean Tracey,CWS,Pitcher,190.5,95.25, 26.29
Nick Masset,CWS,Pitcher,193.04,86.18, 24.79
Jose Molina,ANA,Catcher,187.96,99.79, 31.74
Jeff Mathis,ANA,Catcher,182.88,81.65, 23.92
Mike Napoli,ANA,Catcher,182.88,92.99, 25.33
Casey Kotchman,ANA,Baseman,190.5,95.25, 24.02
Kendry Morales,ANA,Baseman,185.42,99.79, 23.7
Shea Hillenbrand,ANA,Baseman,185.42,95.71, 31.59
Robb Quinlan,ANA,Baseman,185.42,90.72, 29.95
Howie Kendrick,ANA,Baseman,177.8,81.65, 23.64
Orlando Cabrera,ANA,Shortstop,177.8,86.18, 32.33
Erick Aybar,ANA,Shortstop,177.8,77.11, 23.13
Dallas McPherson,ANA,Baseman,193.04,104.33, 26.6
Maicer Izturis,ANA,Baseman,172.72,70.31, 26.46
Reggie Willits,ANA,Outfielder,180.34,83.91, 25.75
Tommy Murphy,ANA,Outfielder,182.88,83.91, 27.51
Terry Evans,ANA,Outfielder,190.5,90.72, 25.11
Gary Matthews Jr.,ANA,Outfielder,190.5,102.06, 32.51
Garret Anderson,ANA,Outfielder,190.5,102.06, 34.67
Vladimir Guerrero,ANA,Outfielder,190.5,99.79, 31.06
Chone Figgins,ANA,Outfielder,172.72,72.57, 29.1
Juan Rivera,ANA,Outfielder,187.96,92.99, 28.66
John Lackey,ANA,Pitcher,198.12,106.59, 28.35
Bartolo Colon,ANA,Pitcher,180.34,113.4, 33.77
Kelvim Escobar,ANA,Pitcher,185.42,95.25, 30.89
Dustin Moseley,ANA,Pitcher,193.04,86.18, 37.74
Ervin Santana,ANA,Pitcher,187.96,72.57, 24.14
Joe Saunders,ANA,Pitcher,187.96,90.72, 25.71
Jered Weaver,ANA,Pitcher,200.66,92.99, 24.41
Chris Resop,ANA,Pitcher,190.5,100.7, 24.32
Phil Seibel,ANA,Pitcher,185.42,88.45, 28.09
Justin Speier,ANA,Pitcher,193.04,92.99, 33.31
Darren Oliver,ANA,Pitcher,187.96,99.79, 36.4
Hector Carrasco,ANA,Pitcher,187.96,99.79, 37.36
Scot Shields,ANA,Pitcher,185.42,77.11, 31.61
Francisco Rodriguez,ANA,Pitcher,182.88,83.91, 25.14
Greg Jones,ANA,Pitcher,187.96,88.45, 30.29
Doug Mirabelli,BOS,Catcher,185.42,99.79, 36.37
Jason Varitek,BOS,Catcher,187.96,104.33, 34.89
George Kottaras,BOS,Catcher,182.88,81.65, 23.79
Kevin Youkilis,BOS,Baseman,185.42,99.79, 27.96
Dustin Pedroia,BOS,Baseman,175.26,81.65, 23.54
Alex Cora,BOS,Shortstop,182.88,81.65, 31.37
Julio Lugo,BOS,Shortstop,185.42,77.11, 31.29
Mike Lowell,BOS,Baseman,190.5,95.25, 33.01
Wily Mo Pe?a,BOS,Outfielder,190.5,97.52, 25.1
J.D. Drew,BOS,Outfielder,185.42,90.72, 31.28
Manny Ramirez,BOS,Outfielder,182.88,96.62, 34.75
Brandon Moss,BOS,Outfielder,182.88,81.65, 23.46
David Murphy,BOS,Outfielder,193.04,87.09, 25.37
Eric Hinske,BOS,Outfielder,187.96,106.59, 29.57
Coco Crisp,BOS,Outfielder,182.88,83.91, 27.33
David Ortiz,BOS,Hitter,193.04,104.33, 31.28
Curt Schilling,BOS,Pitcher,195.58,106.59, 40.29
Tim Wakefield,BOS,Pitcher,187.96,95.25, 40.58
Josh Beckett,BOS,Pitcher,195.58,100.7, 26.79
Matt Clement,BOS,Pitcher,190.5,95.25, 32.55
Jonathan Papelbon,BOS,Pitcher,193.04,104.33, 26.27
Kyle Snyder,BOS,Pitcher,203.2,99.79, 29.47
Devern Hansack,BOS,Pitcher,187.96,81.65, 29.07
Jon Lester,BOS,Pitcher,187.96,86.18, 23.15
Kason Gabbard,BOS,Pitcher,190.5,90.72, 24.9
Craig Hansen,BOS,Pitcher,198.12,95.25, 23.29
Hideki Okajima,BOS,Pitcher,185.42,88.0, 31.18
Craig Breslow,BOS,Pitcher,185.42,81.65, 26.56
Manny Delcarmen,BOS,Pitcher,187.96,86.18, 25.03
Brendan Donnelly,BOS,Pitcher,190.5,108.86, 35.66
Javier Lopez,BOS,Pitcher,193.04,90.72, 29.64
J.C. Romero,BOS,Pitcher,180.34,89.81, 30.74
Joel Pineiro,BOS,Pitcher,185.42,90.72, 28.43
Julian Tavarez,BOS,Pitcher,187.96,88.45, 33.77
Mike Timlin,BOS,Pitcher,193.04,95.25, 40.97
Nick DeBarr,BOS,Pitcher,193.04,99.79, 23.52
Victor Martinez,CLE,Catcher,187.96,86.18, 28.19
Kelly Shoppach,CLE,Catcher,185.42,95.25, 26.84
Ryan Garko,CLE,Baseman,187.96,102.06, 26.16
Joe Inglett,CLE,Baseman,177.8,81.65, 28.67
Josh Barfield,CLE,Baseman,182.88,83.91, 24.2
Hector Luna,CLE,Baseman,185.42,77.11, 27.08
Jhonny Peralta,CLE,Shortstop,185.42,83.91, 24.76
Andy Marte,CLE,Baseman,185.42,83.91, 23.36
Ben Francisco,CLE,Outfielder,185.42,81.65, 25.35
Shin-Soo Choo,CLE,Outfielder,180.34,80.74, 24.63
Franklin Gutierrez,CLE,Outfielder,187.96,79.38, 24.02
Grady Sizemore,CLE,Outfielder,187.96,90.72, 24.58
Jason Michaels,CLE,Outfielder,182.88,92.53, 30.82
Trot Nixon,CLE,Outfielder,187.96,95.71, 32.89
David Dellucci,CLE,Outfielder,180.34,86.18, 33.33
Casey Blake,CLE,Outfielder,187.96,95.25, 33.52
Travis Hafner,CLE,Hitter,190.5,108.86, 29.74
Paul Byrd,CLE,Pitcher,185.42,86.18, 36.24
Cliff Lee,CLE,Pitcher,190.5,86.18, 28.5
Jake Westbrook,CLE,Pitcher,190.5,83.91, 29.42
C.C. Sabathia,CLE,Pitcher,200.66,131.54, 26.61
Jeremy Sowers,CLE,Pitcher,185.42,79.38, 23.79
Rafael Perez,CLE,Pitcher,190.5,83.91, 24.96
Brian Slocum,CLE,Pitcher,193.04,90.72, 25.93
Edward Mujica,CLE,Pitcher,187.96,99.79, 22.81
Fernando Cabrera,CLE,Pitcher,193.04,77.11, 25.29
Tom Mastny,CLE,Pitcher,198.12,99.79, 26.07
Juan Lara,CLE,Pitcher,187.96,86.18, 26.09
Fausto Carmona,CLE,Pitcher,193.04,99.79, 23.23
Aaron Fultz,CLE,Pitcher,182.88,92.99, 33.49
Rafael Betancourt,CLE,Pitcher,187.96,90.72, 31.84
Roberto Hernandez,CLE,Pitcher,193.04,113.4, 42.3
Joe Borowski,CLE,Pitcher,187.96,102.06, 35.82
Matt Miller,CLE,Pitcher,190.5,97.52, 35.27
Jason Davis,CLE,Pitcher,198.12,95.25, 26.81
